putativeCellType,geneticLine,acgPeak,troughtToPeak,brainRegion,lightResponse,rateDuringRipples,preferedThetaphase,thetaModulation,sessionName
Pyramidal Cell,id2/dlx/ai80,2.14,0.775,CA1sp,0,9.02862181842003,2.96715409333871,0.188401643669607,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.733333333333333,CA1sp,0,-1.03552421779683,1.59365530578892,0.102408748614599,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.1,0.741666666666667,CA1sp,0,12.0371670232385,2.71478532752675,0.170167279047608,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.875,,0,12.0466669741983,2.62034368785913,0.154030678326973,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.691666666666667,CA1sp,0,-0.710143928153889,2.72415184652524,0.118371467762503,fnkx8_200911_sess19
Wide Interneuron,id2/dlx/ai80,1.34,0.566666666666667,CA1sp,0,-4.19836656461156,1.64500886490537,0.0483217708337409,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.758333333333333,CA1sp,0,3.62169313591555,2.53742057309786,0.134383305757577,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.625,CA1sp,0,5.51906429411528,2.81519146285969,0.156381097281159,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.94,0.291666666666667,CA1sp,0,1.44948307730172,3.23019180233714,0.261843882624893,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.14,0.766666666666667,CA1sp,0,9.08504586901658,2.29625273823043,0.168186372887664,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.75,CA1sp,0,11.1528085174093,2.32979746006569,0.16922375387626,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.716666666666667,CA1sp,0,3.22701044332247,2.87389717754078,0.105292255159804,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.74,0.416666666666667,CA1sp,0,13.0279748559638,3.45044498418186,0.319828490920063,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.758333333333333,CA1sp,0,1.36558691996222,2.06048072243567,0.104442616546751,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.741666666666667,CA1sp,0,16.9056367610272,2.61963590721769,0.126375747015482,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.741666666666667,CA1sp,0,2.13836858177428,3.27145145810727,0.10110989022062,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.775,CA1sp,0,2.28879136275766,2.76194784310828,0.120348013349749,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.14,0.758333333333333,CA1sp,0,10.1988304093567,3.51632526986351,0.193167350088072,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.26,0.758333333333333,CA1sp,0,9.78010280719114,2.32320815810794,0.149949222862505,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.82,0.425,CA1sp,0,1.32806731633635,1.10446843795442,0.642164015420476,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.75,CA1sp,0,3.07917551898277,2.93812221297751,0.15868181829672,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.18,0.766666666666667,CA1sp,0,1.46108259978455,3.12577444422265,0.107490347876065,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,2.06,0.258333333333333,CA1sp,0,17.6470156886672,3.32230064788005,0.230643167381351,fnkx8_200911_sess19
Pyramidal Cell,id2/dlx/ai80,2.22,0.741666666666667,CA1sp,0,6.71195144391432,2.73289675502329,0.223960077734426,fnkx8_200911_sess19
Narrow Interneuron,id2/dlx/ai80,1.94,0.233333333333333,CA1sp,0,19.742232485212,3.04318732121859,0.351844895773169,fnkx8_200817_sess1
Narrow Interneuron,id2/dlx/ai80,2.06,0.316666666666667,CA1sp,0,13.0256582654336,2.0199269293845,0.225015020705822,fnkx8_200817_sess1
Narrow Interneuron,id2/dlx/ai80,2.18,0.391666666666667,CA1sp,0,27.6033471969595,2.52984056081228,0.308439662604595,fnkx8_200817_sess1
Narrow Interneuron,id2/dlx/ai80,1.46,0.316666666666667,CA1sp,0,-2.94375467993267,3.12768176393798,0.0996601738606322,fnkx8_200817_sess1
Pyramidal Cell,id2/dlx/ai80,2.38,0.7,DG,0,3.83031078140532,2.35790648321769,0.165045456636266,fnkx8_200817_sess1
Pyramidal Cell,id2/dlx/ai80,2.34,0.7,DG,0,9.45847639074521,2.52190490084905,0.221230691339325,fnkx8_200817_sess1
Pyramidal Cell,id2/dlx/ai80,2.38,0.741666666666667,DG,0,9.18248131500646,2.60919460143681,0.265827935339743,fnkx8_200817_sess1
Pyramidal Cell,id2/dlx/ai80,2.22,0.658333333333333,CA1sp,0,-0.455967696565632,2.90420125714173,0.172546267738947,fnkx8_200817_sess1
Pyramidal Cell,id2/dlx/ai80,2.18,0.766666666666667,CA1sp,0,6.96601572099935,2.79384224521885,0.158512531276658,fnkx8_200817_sess1
Narrow Interneuron,id2/dlx/ai80,1.58,0.35,CA1sp,0,16.8347699822684,2.71679672847777,0.273282264723777,fnkx8_200817_sess1
Narrow Interneuron,id2/dlx/ai80,2.06,0.3,DG,0,11.8213446135349,2.83335343445385,0.222877299379597,fnkx8_200817_sess1
Narrow Interneuron,id2/dlx/ai80,2.1,0.3,CA1sp,0,19.7995424317909,2.50557194310109,0.178543862139503,fnkx8_200817_sess1
Narrow Interneuron,id2/dlx/ai80,1.98,0.275,CA1sp,0,6.30320781839915,2.10506048038606,0.273926538682748,fnkx8_200817_sess1
Narrow Interneuron,id2/dlx/ai80,1.66,0.366666666666667,CA1sp,0,11.5529361476764,2.96196594641789,0.199950548410961,fnkx8_200817_sess1
Narrow Interneuron,id2/dlx/ai80,1.98,0.333333333333333,CA1sp,0,-1.99743061194791,1.46785817756206,0.207428861720389,fnkx8_200817_sess1
